"Rank","Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","CardTrader","Cardhoarder","Salt","Decks"
"205","U,R","5","Alania, Divergent Storm","rare","Creature","0.49","0.3","0.54","0.14","0.16","0.02","0.2727272727272727","11417"
"206","U,B,R","4","Saruman, the White Hand","mythic","Creature","0.99","0.82","1.06","1.05","0.88","2","0.3008130081300814","11378"
"207","B,G,U","5","Gonti, Canny Acquisitor","mythic","Creature","0.99","1.59","1.06","0.71","0.89","undefined","0.5882352941176471","11374"
"208","U,R,W","4","Sokka, Tenacious Tactician","rare","Creature","0.49","0.55","0.54","0.31","0.29","0.02","undefined","11374"
"209","U,R","3","Veyran, Voice of Duality","mythic","Creature","2.49","1.41","2.49","2.42","2.03","6.18","0.7333333333333336","11341"
"210","U","4","Orvar, the All-Form","mythic","Creature","3.99","3.2","3.56","2.84","3.02","0.17","0.8255813953488372","11338"
"211","B","2","Tinybones, Bauble Burglar","rare","Creature","1.99","1.09","2.14","0.61","0.77","0.02","0.8544303797468354","11152"
"212","B,G","3","Dina, Essence Brewer","mythic","Creature","3.49","2.34","3.21","1.51","1.58","undefined","undefined","11103"
"213","W,U,B,R,G","5","Child of Alara","rare","Creature","0.99","1.88","1.06","0.53","0.32","0.02","1.2299794661190966","11097"
"214","R,W,B","4","Dihada, Binder of Wills","mythic","Planeswalker","12.99","12.93","13.57","11.5","17.66","4.24","0.6785714285714285","11021"
"215","W,U,B,R,G","5","Sliver Overlord","rare","Creature","27.99","30.72","28.57","20.72","21.37","0.02","1.270000000000001","11000"
"216","W,B","4","Silverquill, the Disputant","mythic","Creature","1.79","1.24","1.78","0.8","1.06","0.15","undefined","10925"
"217","G,U","3","Zimone, Infinite Analyst","mythic","Creature","0.99","0.72","1.06","0.42","0.44","undefined","undefined","10846"
"218","B,R,G","6","Ziatora, the Incinerator","mythic","Creature","0.99","0.49","1.06","0.35","0.21","0.02","0.3548387096774194","10817"
"219","B,R","4","Ob Nixilis, Captive Kingpin","mythic","Creature","13.99","15.9","15.71","11.8","18.26","0.02","0.7636363636363633","10728"
"220","W,B","3","Killian, Decisive Mentor","mythic","Creature","0.99","0.77","1.06","0.86","0.46","undefined","undefined","10718"
"221","R,W","5","Lorehold, the Historian","mythic","Creature","1.99","1.34","2.14","1.18","1.66","0.09","undefined","10691"
"222","W,B","3","Clavileño, First of the Blessed","mythic","Creature","0.99","0.72","1.06","0.92","0.67","0.14","0.3559322033898305","10669"
"223","U,R,W","4","Narset, Enlightened Exile","mythic","Creature","5.99","7.48","6.42","7.88","8.26","0.02","0.78125","10494"
"224","W,U","4","Niko, Light of Hope","mythic","Creature","0.99","0.37","1.06","0.55","0.46","0.02","0.2584269662921349","10458"
"225","B,R","4","Rakdos, Lord of Riots","mythic","Creature","2.29","0.76","1.78","0.95","0.99","0.02","0.4550264550264551","10451"
"226","W,U,B,R,G","5","Infinite Guideline Station","rare","Artifact","0.49","0.25","0.54","0.18","0.19","0.02","0.21428571428571427","10435"
"227","W,B","3","Ketramose, the New Dawn","mythic","Creature","4.99","2.9","5.71","4.39","4.47","0.83","0.8461538461538461","10424"
"228","U,R","7","Prismari, the Inspiration","mythic","Creature","4.99","3.4","4.99","2.94","4.23","0.18","undefined","10413"
"229","R","4","Ojer Axonil, Deepest Might","mythic","Creature","29.99","21.25","28.57","21.8","25.22","0.49","0.7322834645669294","10405"
"230","G,U","4","Volo, Guide to Monsters","rare","Creature","0.49","0.35","0.54","0.4","0.54","0.02","0.45454545454545453","10357"
"231","G,W","4","Trostani, Selesnya's Voice","mythic","Creature","1.99","1.24","2.14","1.03","1.3","0.02","0.1523809523809524","10331"
"232","W,U","5","Kastral, the Windcrested","rare","Creature","0.99","0.36","1.06","0.23","0.34","0.02","0.35","10304"
"233","G,U,R","4","Saheeli, Radiant Creator","mythic","Creature","0.99","0.33","0.71","0.2","0.17","undefined","0.3629032258064517","10265"
"234","W,U,B","3","Raffine, Scheming Seer","mythic","Creature","5.99","3.37","4.99","3.62","5.11","0.09","0.3559322033898305","10220"
"235","U,B,R,G","4","Yidris, Maelstrom Wielder","mythic","Creature","9.99","9.93","10.71","4.68","5.64","0.87","0.5660377358490569","10214"
"236","R,W,B","3","Vihaan, Goldwaker","mythic","Creature","1.99","1.88","2.14","0.4","1.03","3.5","0.07142857142857142","10205"
"237","R","4","Tannuk, Steadfast Second","mythic","Creature","2.49","1.62","2.49","1.55","1.58","0.03","0.6730769230769231","10176"
"238","B,R","2","Gev, Scaled Scorch","rare","Creature","0.99","0.37","1.42","0.3","0.46","0.02","0.25","10166"
"239","B,R,G","5","Lord Windgrace","mythic","Planeswalker","13.99","15.79","12.85","11.83","14.35","2.67","0.7058823529411765","10114"
"240","B,G","5","The Gitrog Monster","mythic","Creature","1.49","0.39","1.42","1.11","0.75","0.02","0.8834355828220859","10073"
"241","R","5","Okaun, Eye of Chaos // Zndrsplt, Eye of Wisdom","rare","Creature","5.99","3.48","4.99","3.78","4.51","1.38","0.07142857142857142","10061"
"242","G,W,U","3","Katara, the Fearless","rare","Creature","0.59","0.63","0.54","0.37","0.4","0.02","undefined","10047"
"243","W,B,G","5","Betor, Kin to All","mythic","Creature","7.99","6.21","7.85","4.23","6.37","0.06","0.49549549549549504","10007"
"244","U,R","4","Bria, Riptide Rogue","mythic","Creature","37.99","26.94","39.28","20.68","29.03","2.36","0.6272727272727276","9965"
"245","U,B,R","4","Doctor Doom, King of Latveria","mythic","Creature","0.99","4.7","1.06","0.98","1.01","1.63","undefined","9940"
"246","R,G,W","4","Jetmir, Nexus of Revels","mythic","Creature","14.99","8.47","14.99","1","12.62","0.02","0.8862275449101796","9899"
"247","G,U","5","Aloy, Savior of Meridian","mythic","Creature","6.49","5.87","6.42","6.57","7.24","undefined","undefined","9873"
"248","U,R,W","4","Shiko and Narset, Unified","mythic","Creature","0.99","0.89","1.06","0.58","0.42","undefined","0.29245283018867924","9816"
"249","B,R,G","3","Eddie Brock","mythic","Creature","2.79","2.16","2.85","1.89","1.8","0.41","0.5523809523809524","9811"
"250","U,B,R","4","Nicol Bolas, the Ravager","mythic","Creature","24.99","18.11","21.42","14.16","17.64","0.02","0.7665198237885462","9766"
"251","R,W","4","Quintorius, History Chaser","mythic","Planeswalker","0.99","0.72","0.71","1","0.51","1.64","undefined","9746"
"252","R,G,W","3","Rocco, Cabaretti Caterer","uncommon","Creature","0.35","0.18","0.35","0.09","0.12","0.03","0.6111111111111112","9736"
"253","G","3","Omnath, Locus of Mana","mythic","Creature","4.49","4.11","4.28","1.38","1.69","0.02","0.4954128440366971","9708"
"254","G,W,U","5","Chulane, Teller of Tales","mythic","Creature","6.49","4.83","6.42","3.64","3.89","0.02","1.2457044673539512","9667"
"255","W,U,B,R,G","4","Leonardo, the Balance // Michelangelo, the Heart","mythic","Creature","0.99","1.62","1.06","0.49","0.36","2","undefined","9607"
"256","W,B","5","Shilgengar, Sire of Famine","rare","Creature","0.49","0.38","0.54","0.25","0.23","0.02","0.9473684210526315","9601"
"257","R,G,W","4","Shalai and Hallar","mythic","Creature","7.99","6.78","8.57","3.94","7.6","4.01","0.3551401869158877","9580"
"258","G,W","2","Kudo, King Among Bears","rare","Creature","0.49","0.4","0.54","0.24","0.19","0.02","0.5468750000000004","9467"
"259","R,G","5","Roxanne, Starfall Savant","rare","Creature","1.29","0.73","1.06","0.5","0.88","0.02","0.475","9464"
"260","B,G","2","Dina, Soul Steeper","uncommon","Creature","0.35","0.22","0.35","0.14","0.11","0.03","0.39805825242718446","9452"
"261","W,U,B,R,G","4","Jodah, Archmage Eternal","rare","Creature","0.59","0.86","0.54","0.33","0.33","0.02","1.0105820105820102","9441"
"262","B,G","2","Skullbriar, the Walking Grave","rare","Creature","0.99","1.64","1.42","0.43","0.59","0.02","0.3157894736842105","9427"
"263","W,U,B","4","Queza, Augur of Agonies","uncommon","Creature","0.35","0.25","0.35","0.19","0.14","0.03","0.5303030303030303","9397"
"264","G,U","5","Tatyova, Benthic Druid","uncommon","Creature","0.35","0.18","0.35","0.12","0.11","0.03","0.8244047619047619","9386"
"265","R","3","Kratos, God of War","mythic","Creature","57.99","50.43","53.57","31.6","29.84","undefined","undefined","9375"
"266","U,R","5","Iron Man, Titan of Innovation","mythic","Creature","9.99","10.32","9.99","8.03","7.49","2.6","1.1428571428571432","9364"
"267","U,B","3","Mirko, Obsessive Theorist","mythic","Creature","0.99","0.38","1.06","0.62","0.53","1.64","0.6470588235294118","9322"
"268","B,R","3","Rowan, Scion of War","mythic","Creature","0.99","0.46","1.06","0.52","0.55","0.02","0.43212669683257926","9310"
"269","B,G","3","The Mycotyrant","mythic","Creature","1.49","1.3","1.42","0.96","1.19","0.02","0.2711864406779661","9260"
"270","B,G,U","5","Thranduil, the Elvenking","rare","Creature","0.49","0.66","0.54","0.55","0.78","0.02","undefined","9249"
"271","R,G,W","3","Hazezon, Shaper of Sand","rare","Creature","0.49","0.21","0.54","0.21","0.22","0.34","0.5294117647058824","9237"
"272","W,B,G","4","Tayam, Luminous Enigma","mythic","Creature","0.99","3.18","1.06","1.38","2.6","1.43","0.15789473684210525","9235"
"273","W,U,B,R,G","10","Reaper King","rare","Creature","9.99","10.34","9.28","4.76","6.08","0.02","0.9047619047619048","9217"
"274","G,W,U","4","Brenard, Ginger Sculptor","mythic","Creature","2.79","1.11","2.49","1.54","2.1","0.24","0.13333333333333333","9207"
"275","U,B","5","Phenax, God of Deception","mythic","Creature","18.99","13.87","17.85","9.28","11.01","0.02","0.7118644067796608","9205"
"276","B,G,U","5","Indominus Rex, Alpha","rare","Creature","37.99","30.32","39.28","18.07","25.14","4.5","0.7307692307692307","9186"
"277","R,G","3","Tannuk, Memorial Ensign","uncommon","Creature","1.49","0.52","1.42","0.74","0.79","0.03","0.3076923076923077","9170"
"278","U,R,W","3","Elsha, Threefold Master","mythic","Creature","0.99","1.01","0.71","0.64","0.31","undefined","0.20175438596491235","9159"
"279","G","6","Gargos, Vicious Watcher","rare","Creature","1.79","1.14","1.78","1.31","1.33","0.02","0.4693877551020409","9105"
"280","W,U,B","4","Noctis, Prince of Lucis","rare","Creature","0.49","0.35","0.54","0.21","0.25","0.02","0.4954954954954955","9093"
"281","R","0","Rograkh, Son of Rohgahh // Thrasios, Triton Hero","uncommon","Creature","2.29","2.83","2.14","2.01","2.5","4.47","0.6612021857923498","9082"
"282","R,W,B","6","Syr Gwyn, Hero of Ashvale","mythic","Creature","1.49","2.85","1.42","3.19","3.24","0.02","0.2857142857142857","9078"
"283","W,B","3","Athreos, God of Passage","mythic","Creature","14.99","14.18","14.28","9.98","11.71","0.02","0.5923913043478264","9076"
"284","B,R,G","4","Coram, the Undertaker","mythic","Creature","0.99","0.31","0.71","0.19","0.16","0.02","0.45454545454545453","9070"
"285","U,B","5","Marvo, Deep Operative","mythic","Creature","1.49","0.62","1.42","0.75","0.44","2","0.13333333333333333","9060"
"286","G,W","2","Finneas, Ace Archer","rare","Creature","0.49","0.35","0.54","0.22","0.29","0.02","0.42857142857142855","9054"
"287","R","1","Norin the Wary","rare","Creature","17.99","15.57","17.14","6.43","9.11","0.02","0.8","9053"
"288","B,R","3","The Infamous Cruelclaw","mythic","Creature","1.79","1.29","1.42","1.1","1.81","0.02","0.7142857142857143","9051"
"289","U,B","7","Toxrill, the Corrosive","mythic","Creature","17.99","14.49","17.85","15","18.03","0.02","2.1939501779359465","8989"
"290","W,U,B","5","Arna Kennerüd, Skycaptain","mythic","Creature","0.99","0.4","1.06","0.43","0.31","0.02","0.42105263157894735","8976"
"291","R,G","4","Raggadragga, Goreguts Boss","rare","Creature","0.49","0.23","0.54","0.17","0.23","undefined","0.25","8966"
"292","R,G","4","Minsc & Boo, Timeless Heroes","mythic","Planeswalker","2.79","1.73","2.85","2.57","2.79","3.89","0.5403225806451613","8964"
"293","R,G,W","3","Dogmeat, Ever Loyal","mythic","Creature","0.99","0.69","1.06","3.1","0.64","undefined","0.7692307692307693","8940"
"294","R","4","Alexios, Deimos of Kosmos","uncommon","Creature","0.69","0.37","0.54","0.18","0.4","1.03","0.6414141414141418","8929"
"295","R","0","Rograkh, Son of Rohgahh // Silas Renn, Seeker Adept","uncommon","Creature","2.29","2.83","2.14","2.01","2.5","4.47","0.6612021857923498","8923"
"296","G","12","Ghalta, Primal Hunger","rare","Creature","2.29","1.07","2.14","0.76","1","0.02","0.4444444444444443","8915"
"297","W,U,B","3","The Master of Keys","mythic","Creature","0.99","2.31","1.06","0.88","0.63","undefined","0.39814814814814814","8913"
"298","W","4","Myrel, Shield of Argive","mythic","Creature","22.99","17.86","23.57","13.66","17.27","0.09","0.90625","8886"
"299","R,G","7","Omnath, Locus of Rage","mythic","Creature","0.99","0.25","1.06","0.36","0.31","0.02","0.5693641618497113","8864"
"300","W,U,B,R,G","3","Codie, Vociferous Codex","rare","Creature","0.49","0.28","0.35","0.12","0.19","0.02","0.47902869757174393","8856"
"301","U,B,R","3","Goro-Goro and Satoru","mythic","Creature","2.99","2.06","2.85","0.97","1.16","1.75","0.42857142857142855","8848"
"302","G,U,R","4","Kalamax, the Stormsire","mythic","Creature","0.99","0.69","1.06","0.1","0.44","0.45","0.5078651685393264","8831"
"303","B,R,G","3","Slimefoot and Squee","mythic","Creature","3.99","3.92","4.28","2.23","3.2","9","0.7647058823529411","8790"
"304","G,U","4","Adrix and Nev, Twincasters","mythic","Creature","8.49","7.29","8.57","0.59","6.25","2.05","0.6257485029940125","8725"
"305","G","6","Lumra, Bellow of the Woods","mythic","Creature","37.99","25.46","35.71","25.19","32.59","0.17","0.7119565217391307","8719"
"306","U,B,R","4","Obeka, Brute Chronologist","rare","Creature","0.49","0.39","0.54","0.52","0.59","0.52","0.4583333333333333","8712"
"307","B,R,G","4","Winter, Misanthropic Guide","rare","Creature","0.49","0.24","0.35","0.03","0.11","0.02","0.75","8695"
"308","W,B","4","Brimaz, Blight of Oreskos","mythic","Creature","0.99","0.45","1.06","0.54","0.49","2.6","0.47058823529411764","8678"
"309","W,B","2","Elas il-Kor, Sadistic Pilgrim","uncommon","Creature","1.99","0.85","2.14","0.9","1.06","0.03","0.43243243243243246","8671"
"310","U,B,R","4","Kess, Dissident Mage","mythic","Creature","4.49","3.74","4.28","3.03","4.75","0.02","0.554621848739496","8643"
"311","R,G","5","Xenagos, God of Revels","mythic","Creature","16.99","11.14","16.42","7.43","9.05","0.02","0.6452599388379205","8600"
"312","W","3","Ardenn, Intrepid Archaeologist // Rograkh, Son of Rohgahh","uncommon","Creature","5.49","3.18","5.71","3.98","4.31","3.22","0.294736842105263","8546"
"313","W","2","Cloud, Midgar Mercenary","mythic","Creature","32.99","24.2","35.71","22.35","27.65","0.35","0.8513513513513512","8521"
"314","B","3","Braids, Arisen Nightmare","rare","Creature","6.49","4.14","6.42","3.61","5.32","0.02","1.0498561840843723","8470"
"315","U","3","Haldan, Avid Arcanist // Pako, Arcane Retriever","mythic","Creature","0.99","0.71","1.06","1.16","0.78","1.77","0.3","8468"
"316","G,U","3","Clement, the Worrywort","rare","Creature","0.49","0.33","0.54","0.25","0.32","0.02","0.4","8328"
"317","B,R,G","5","Szarel, Genesis Shepherd","mythic","Creature","0.99","0.48","1.06","0.36","0.47","undefined","0.3025210084033615","8315"
"318","B,R","4","Strefan, Maurer Progenitor","mythic","Creature","0.99","0.69","1.06","0.52","0.96","undefined","0.05555555555555555","8276"
"319","R,W,B","4","Neriv, Heart of the Storm","mythic","Creature","2.29","2.35","2.14","1.3","2.09","0.06","0.2169811320754717","8261"
"320","G","3","Marwyn, the Nurturer","rare","Creature","9.99","5.65","9.99","4.16","6.11","0.02","0.545454545454545","8228"
"321","W,B,G","5","Ghave, Guru of Spores","mythic","Creature","0.99","0.56","1.06","0.44","0.52","0.25","0.2857142857142857","8178"
"322","U","2","Vnwxt, Verbose Host","rare","Creature","0.79","0.39","0.71","0.36","0.19","0.02","0.2673267326732673","8157"
"323","B,R,G,W","4","Saskia the Unyielding","mythic","Creature","8.99","8.33","8.57","undefined","9.03","0.27","0.3076923076923077","8138"
"324","B","4","Imotekh the Stormlord","mythic","Creature","11.99","8.59","12.14","4.99","11.07","undefined","0.28333333333333327","8136"
"325","U,B","4","Talion, the Kindly Lord","mythic","Creature","12.99","8.09","12.85","9.84","12.19","0.02","0.720238095238095","8102"
"326","G,U,R","8","Maelstrom Wanderer","rare","Creature","0.49","0.37","0.54","0.43","0.34","1.21","0.64756446991404","8096"
"327","B,G,U","3","Xavier Sal, Infested Captain","rare","Creature","1.49","1.24","1.06","0.95","0.59","0.18","0.25","8036"
"328","W,U,B","5","Sen Triplets","mythic","Creature","7.99","8.4","7.14","3.33","5.09","0.02","2.043367346938774","8033"
"329","G,W,U","3","Tuvasa the Sunlit","mythic","Creature","2.99","3.77","3.21","3.45","4.81","6.59","0.09090909090909091","8026"
"330","W","5","Elesh Norn, Mother of Machines","mythic","Creature","34.99","23.69","35.71","20.24","20.15","0.02","1.7605442176870754","8021"
"331","B,G","3","Grist, the Hunger Tide","mythic","Planeswalker","0.99","0.4","1.06","0.6","0.36","0.4","0.38219895287958117","8019"
"332","G,W,U","3","Kellan, the Kid","mythic","Creature","3.49","1.5","2.85","0.89","1.05","0.02","0.6875","8010"
"333","W,B","4","Squall, SeeD Mercenary","rare","Creature","1.99","1.15","1.78","0.54","0.9","0.02","0.3431372549019608","7986"
"334","G,W,U","3","Morska, Undersea Sleuth","mythic","Creature","0.99","0.41","1.06","0.25","0.31","1.31","0.2631578947368421","7978"
"335","G","2","Bristly Bill, Spine Sower","mythic","Creature","49.99","37.82","50","23.56","24.13","2.03","0.9581005586592175","7942"
"336","U,R","6","Niv-Mizzet, Visionary","mythic","Creature","8.99","6.65","8.57","5.04","5.89","0.02","0.8873239436619719","7931"
"337","U,B,R","5","Mishra, Eminent One","mythic","Creature","0.99","0.5","1.06","0.43","0.33","0.53","0.4","7921"
"338","B","5","Shirei, Shizo's Caretaker","uncommon","Creature","0.35","0.25","0.35","0.1","0.13","0.02","0.65","7887"
"339","W,B,G","7","Myrkul, Lord of Bones","rare","Creature","0.49","0.28","0.35","0.21","0.23","1.76","0.4","7883"
"340","G,W","4","Ellivere of the Wild Court","mythic","Creature","0.99","0.42","1.06","0.44","0.33","2.2","0.3559322033898305","7860"
"341","G,U","7","Koma, Cosmos Serpent","mythic","Creature","6.49","5.97","6.42","3.84","5.11","0.02","1.5194109772423032","7848"
"342","W,B","3","Zoraline, Cosmos Caller","rare","Creature","0.49","0.3","0.54","0.24","0.21","0.02","0.23809523809523808","7830"
"343","B,R","6","Ozai, the Phoenix King","mythic","Creature","4.99","3.8","4.28","3.49","4.47","0.02","undefined","7826"
"344","B,G,U","4","Sidisi, Brood Tyrant","rare","Creature","1.79","1.27","1.78","0.55","0.74","0.02","0.368421052631579","7811"
"345","G,W","3","Gluntch, the Bestower","rare","Creature","0.79","0.38","1.06","0.35","0.4","undefined","0.2543859649122806","7809"
"346","U,B,R","5","Admiral Brass, Unsinkable","mythic","Creature","0.99","0.26","0.71","0.22","0.19","0.02","0.375","7809"
"347","U,B","4","Gisa and Geralf","rare","Creature","0.79","0.3","0.71","0.26","0.16","0.02","0.26213592233009714","7800"
"348","B,G","5","The Gitrog, Ravenous Ride","mythic","Creature","6.99","4.4","6.42","1.72","4.61","0.02","0.5217391304347826","7795"
"349","B,G,U","4","Kadena, Slinking Sorcerer","mythic","Creature","0.99","0.44","1.06","0.29","0.22","3.84","0.4090909090909091","7781"
"350","W,B","3","Breena, the Demagogue","mythic","Creature","1.79","0.84","1.78","1.06","1.11","3.18","0.44919786096256686","7772"
"351","B,G","3","Sméagol, Helpful Guide","rare","Creature","0.59","0.38","0.54","0.32","0.34","0.02","0.8571428571428571","7743"
"352","","5","Ultima, Origin of Oblivion","rare","Creature","0.69","1.32","0.71","0.7","0.84","0.02","0.5981308411214953","7732"
"353","R,G,W","8","Yuma, Proud Protector","mythic","Creature","0.99","0.4","0.71","0.38","0.5","11","0.4166666666666667","7725"
"354","G","4","The Unbeatable Squirrel Girl","rare","Creature","2.29","2.48","2.49","2.78","2.9","0.02","undefined","7716"
"355","G,W","4","Lathiel, the Bounteous Dawn","rare","Creature","1.49","0.82","1.78","0.17","0.34","0.02","0.25000000000000006","7709"
"356","R,W,B","4","Extus, Oriq Overlord","mythic","Creature","0.99","0.57","1.06","0.82","0.59","0.02","0.15","7697"
"357","R,G,W","4","Tifa, Martial Artist","mythic","Creature","0.99","3.14","1.06","1.08","0.54","1.46","0.5603448275862069","7670"
"358","B,R","4","Kardur, Doomscourge","uncommon","Creature","1.49","0.45","1.42","0.56","0.7","0.03","0.5718562874251495","7658"
"359","W,B,G","5","Nethroi, Apex of Death","mythic","Creature","2.99","2.53","2.49","1.27","1.9","0.02","0.5","7613"
"360","U,B,R","4","Lynde, Cheerful Tormentor","mythic","Creature","1.79","1.26","1.78","0.85","1.1","0.13","0.2","7589"
"361","U,R,W","4","Commodore Guff","mythic","Planeswalker","1.49","4.82","1.42","0.63","2.6","undefined","0.6","7583"
"362","G,U,R","1","Bruce Banner","mythic","Creature","4.99","4.61","4.99","3.56","2.84","0.19","undefined","7552"
"363","U","3","Bruvac the Grandiloquent","mythic","Creature","49.99","42.42","50","31.5","41.62","0.02","1.3883495145631068","7530"
"364","G,W","4","Sigarda, Font of Blessings","rare","Creature","5.99","4.99","6.42","2.34","3.31","0.02","0.5585585585585585","7519"
"365","B,R,G","6","Thantis, the Warweaver","mythic","Creature","0.99","0.54","1.06","0.55","0.59","2.98","0.2","7507"
"366","B,R","5","The Lord of Pain","mythic","Creature","11.99","10.45","11.42","7.55","8.13","2","0.9731182795698923","7483"
"367","G","2","Ayula, Queen Among Bears","rare","Creature","4.99","5.83","4.99","0.3","1.21","0.02","0.1875","7445"
"368","B,R","3","Evereth, Viceroy of Plunder","rare","Creature","5.49","3.43","5.71","2.78","3.07","undefined","0.44047619047619047","7436"
"369","G,U","4","Ezuri, Claw of Progress","mythic","Creature","4.49","2.02","4.28","0.42","1.6","0.02","0.7368421052631579","7434"
"370","R,G","5","Slinza, the Spiked Stampede","rare","Creature","0.69","0.4","0.71","0.64","0.64","undefined","0.2551020408163265","7433"
"371","B,R,G","4","The Beamtown Bullies","mythic","Creature","0.99","0.45","0.71","0.42","0.42","2.02","1.0917030567685606","7405"
"372","W,B,G","3","Bilbo, Birthday Celebrant","rare","Creature","0.49","0.37","0.54","0.39","0.27","1.28","0.15789473684210525","7404"
"373","U,R,W","3","Pramikon, Sky Rampart","mythic","Creature","4.49","3.01","3.56","1.46","4","1.78","0.6250000000000002","7383"
"374","G,U","5","Kiora, Sovereign of the Deep","mythic","Creature","2.29","2.48","2.49","1.25","2.02","0.02","0.3333333333333333","7364"
"375","G","3","Azusa, Lost but Seeking","rare","Creature","15.99","12.09","14.99","5","9.15","0.02","0.9081967213114753","7355"
"376","U,R","2","Tony Stark","mythic","Creature","5.49","4.49","5.71","4.96","4.01","0.12","undefined","7351"
"377","R","6","Clive, Ifrit's Dominant","mythic","Creature","5.49","3.3","6.42","2.98","3.06","0.02","0.26804123711340205","7330"
"378","R,G","7","Raph & Mikey, Troublemakers","rare","Creature","4.49","2.9","4.28","1.63","2.62","0.3","undefined","7297"
"379","B","3","Ayara, First of Locthwain","rare","Creature","10.99","9.1","10.71","5.79","9.8","0.02","0.40540540540540543","7283"
"380","B,R","3","Laughing Jasper Flint","rare","Creature","0.99","0.36","1.06","0.36","0.32","0.02","0.5412844036697251","7264"
"381","R,W,B","3","Zurgo, Thunder's Decree","rare","Creature","0.49","0.4","0.54","0.32","0.28","0.02","0.17346938775510207","7251"
"382","W,U","7","Millicent, Restless Revenant","mythic","Creature","0.99","0.43","1.06","0.34","0.44","undefined","0.25","7208"
"383","W,B","3","Ardbert, Warrior of Darkness","rare","Creature","0.49","0.33","0.54","0.36","0.18","1.72","0.4205607476635514","7207"
"384","G,U","4","Grolnok, the Omnivore","rare","Creature","0.79","0.48","0.71","0.2","0.3","0.02","0.47368421052631576","7202"
"385","R,W","3","Mabel, Heir to Cragflame","rare","Creature","0.49","0.34","0.54","0.28","0.37","0.02","0.19047619047619047","7198"
"386","B,G","4","Winter, Cynical Opportunist","mythic","Creature","0.99","0.37","0.71","0.54","0.32","2","0.2708333333333334","7194"
"387","G,W","3","Jasmine Boreal of the Seven","uncommon","Creature","0.39","0.33","0.35","0.09","0.18","0.23","0.06666666666666667","7175"
"388","U,R","4","Jhoira, Weatherlight Captain","rare","Creature","0.79","0.48","0.71","0.66","0.58","0.02","0.7183098591549292","7173"
"389","B","4","Yawgmoth, Thran Physician","mythic","Creature","29.99","23.53","27.85","26.99","31.54","0.99","1.1506024096385539","7172"
"390","B,R,G","5","Maarika, Brutal Gladiator","rare","Creature","2.99","2.36","3.21","0.7","1.45","0.37","0.375","7159"
"391","U,B","4","Anowon, the Ruin Thief","mythic","Creature","0.99","0.44","1.06","1.76","0.93","4.2","0.2222222222222222","7109"
"392","W,U,B,R,G","4","Hei Bai, Forest Guardian","mythic","Creature","9.99","6.93","10.71","11.36","8.59","3.52","undefined","7069"
"393","W,U","2","Kwain, Itinerant Meddler","rare","Creature","0.59","0.25","0.71","0.19","0.25","0.99","0.248780487804878","7064"
"394","R,G","4","Chishiro, the Shattered Blade","mythic","Creature","0.99","0.99","1.06","0.19","0.38","6.66","0.39344262295081966","7055"
"395","W,B","6","Astarion, the Decadent","rare","Creature","1.29","0.48","1.06","0.87","1.31","undefined","0.36","7054"
"396","B,G","4","Jenova, Ancient Calamity","rare","Creature","0.79","1.06","0.71","1.24","1.34","0.02","0.32558139534883723","7046"
"397","B,G,U","5","The Mimeoplasm","rare","Creature","0.49","0.24","0.54","0.18","0.25","0.02","0.75","7023"
"398","R,G,W","5","Duskana, the Rage Mother","mythic","Creature","0.99","0.39","1.06","0.97","0.25","2","0.3157894736842105","6992"
"399","U,R","2","Ral, Monsoon Mage","mythic","Creature","11.99","7.03","12.14","4.48","6.13","0.84","0.5294117647058822","6990"
"400","U,R,W","4","Hinata, Dawn-Crowned","rare","Creature","0.49","0.37","0.54","0.23","0.24","0.01","0.9818181818181818","6981"
"401","B,R,G","4","Ognis, the Dragon's Lash","rare","Creature","0.49","0.26","0.54","0.12","0.22","0.02","0.391304347826087","6973"
"402","U","4","Talrand, Sky Summoner","rare","Creature","1.29","0.41","1.06","0.23","0.32","0.02","0.3785310734463275","6970"
"403","B,R,G","6","Prossh, Skyraider of Kher","mythic","Creature","0.99","0.41","1.06","0.26","0.58","0.17","0.8","6957"
"404","R,G,W","4","Marisi, Breaker of the Coil","mythic","Creature","9.99","7.77","10.71","3.25","9.81","11.16","0.7647058823529413","6952"
"405","B,R","2","Juri, Master of the Revue","uncommon","Creature","0.35","0.25","0.35","0.14","0.14","0.04","0.1853932584269663","6928"
"406","R,G,W","3","Wayta, Trainer Prodigy","mythic","Creature","0.99","0.38","0.71","0.36","0.41","2","0.2","6923"
"407","W,B","4","Elenda, the Dusk Rose","mythic","Creature","9.99","5.62","9.28","5.36","6.87","0.02","0.2831325301204822","6922"
"408","W,B,G","4","Ixhel, Scion of Atraxa","mythic","Creature","0.99","3.18","1.06","1.02","1.99","3.55","0.5944444444444441","6921"
"409","G,W","3","Brigid, Clachan's Heart","rare","Creature","0.79","0.46","0.71","0.45","0.33","0.03","undefined","6866"
"410","R,W","6","Nahiri, Forged in Fury","mythic","Creature","10.99","8.14","9.99","7.82","9.14","0.02","0.4637681159420291","6861"
"411","B","3","Karumonix, the Rat King","rare","Creature","0.99","0.6","1.06","0.34","0.69","0.02","0.6122448979591838","6859"
"412","B,G,U","3","Zimone and Dina","mythic","Creature","0.99","0.52","1.06","0.53","0.33","0.02","0.375","6836"
